Date,Close/Last,Volume,Open,High,Low
11/03/2023,$10.56,60912420,$10.26,$10.64,$10.25
11/02/2023,$10.14,66913970,$10.02,$10.15,$9.97
11/01/2023,$9.91,75469740,$9.835,$9.93,$9.76
10/31/2023,$9.75,82238820,$9.72,$9.91,$9.63
10/30/2023,$9.77,106474700,$10.08,$10.14,$9.68
10/27/2023,$9.96,187029600,$10.93,$10.97,$9.90
10/26/2023,$11.35,84725890,$11.91,$11.93,$11.33
10/25/2023,$11.54,74213780,$11.35,$11.64,$11.21
10/24/2023,$11.39,47775580,$11.50,$11.5703,$11.38
10/23/2023,$11.48,49073770,$11.55,$11.69,$11.42
10/20/2023,$11.64,53307520,$11.58,$11.76,$11.54
10/19/2023,$11.53,49057510,$11.59,$11.76,$11.51
10/18/2023,$11.75,44840140,$11.93,$11.93,$11.75
10/17/2023,$12.04,40516470,$11.85,$12.17,$11.85
10/16/2023,$11.93,29183010,$11.91,$11.96,$11.82
10/13/2023,$11.81,47289170,$11.97,$12.00,$11.80
10/12/2023,$12.00,51644020,$11.88,$12.07,$11.84
10/11/2023,$12.25,31321510,$12.29,$12.39,$12.15
10/10/2023,$12.20,40404620,$12.10,$12.30,$12.09
10/09/2023,$12.07,33327960,$11.80,$12.15,$11.78
10/06/2023,$12.00,57558510,$11.82,$12.15,$11.685
10/05/2023,$11.90,47424950,$11.94,$11.9999,$11.69
