Date,Close/Last,Volume,Open,High,Low
11/03/2023,$13.87,2966237,$13.90,$14.40,$13.8314
11/02/2023,$13.64,3566585,$13.37,$13.695,$13.275
11/01/2023,$13.01,3430138,$13.78,$13.80,$13.01
10/31/2023,$13.77,4574637,$12.85,$13.90,$12.82
10/30/2023,$12.80,3475939,$13.15,$13.27,$12.59
10/27/2023,$13.12,2481701,$13.51,$13.615,$13.02
10/26/2023,$13.50,2036419,$13.73,$13.80,$13.41
10/25/2023,$13.71,1967280,$14.01,$14.01,$13.605
10/24/2023,$14.04,3738325,$13.59,$14.30,$13.552
10/23/2023,$13.44,2785462,$13.28,$13.59,$13.04
10/20/2023,$13.44,3661770,$13.18,$13.80,$13.12
10/19/2023,$13.16,5808038,$13.80,$13.85,$12.90
10/18/2023,$13.85,4045789,$14.00,$14.25,$13.8101
10/17/2023,$14.12,3842428,$14.25,$14.828,$14.10
10/16/2023,$14.43,3508601,$14.81,$14.93,$14.15
10/13/2023,$14.92,1835601,$14.92,$15.105,$14.78
10/12/2023,$15.09,3180340,$15.77,$15.80,$14.82
10/11/2023,$15.82,2098203,$16.01,$16.085,$15.74
10/10/2023,$16.00,2915872,$15.50,$16.19,$15.40
10/09/2023,$15.40,2276323,$14.77,$15.50,$14.72
10/06/2023,$15.08,2467053,$14.59,$15.255,$14.58
10/05/2023,$14.71,1945094,$14.70,$14.98,$14.58
